date,code,name,pattern,confidence,price,description,forward_3d,forward_5d,forward_10d,forward_20d,market_phase
2025-12-25,600765,中航重机,F,低,18.46774776,上升三法(首阳6.7%|中间4天缩量|末涨5.1%|量比2.0),3.7878787878787623,3.354978354978355,13.203463203463194,6.493506493506485,
2025-04-08,600801,华新建材,E,低,13.14098716,大跌反包(前日跌5.3%|阳包阴覆盖100%|涨幅3.7%|量比1.5),0.9365994236311126,-0.8645533141210304,-3.746397694524506,-12.391930835734877,
2024-06-20,600803,新奥股份,D,高,18.96167034,阶段新高(距24月高点-2.8%|距5日线0.8%|量比1.6),-1.5580736543909346,-3.305004721435323,-0.283286118980175,-2.219074598678006,
2025-03-03,600808,马钢股份,D,高,3.5,阶段新高(距24月高点-2.8%|距5日线4.3%|量比2.8),-1.1428571428571455,-5.999999999999995,-6.2857142857142945,-11.142857142857142,
2025-03-14,600809,山西汾酒,F,低,218.28402635,上升三法(首阳5.3%|中间2天缩量|末涨3.2%|量比1.8),-0.28270136863361994,-2.625084137312095,-2.530850347767555,-3.20843616782589,
2024-04-01,600820,隧道股份,D,高,5.84229194,阶段新高(距24月高点-1.7%|距5日线5.4%|量比2.7),1.5600624024961096,0.0,7.020280811232449,5.304212168486733,
2025-02-12,600845,宝信软件,A,高,32.58382254,上穿年线+涨停(涨幅10.0%，量比3.4),4.778866132383497,0.3858711783912172,5.847432472543779,-0.7123775601068694,
2024-03-28,600862,中航高科,E,中,19.0513426,大跌反包(前日跌6.5%|阳包阴覆盖98%|涨幅9.3%|量比1.9),-3.490759753593431,-7.751540041067773,-5.749486652977421,1.8993839835728998,
2024-04-11,600863,华能蒙电,D,高,4.39146826,阶段新高(距24月高点-1.0%|距5日线2.3%|量比1.6),1.4522821576763656,-2.9045643153526868,-7.676348547717849,-4.771784232365139,
2026-01-30,600871,石化油服,B,中,3.41,上影线试盘突破(涨幅5.6%，上影线占比61%，量比5.3),-12.023460410557185,-12.316715542521994,-14.076246334310849,9.97067448680351,
2025-07-22,600873,梅花生物,D,高,11.06,阶段新高(距24月高点-2.2%|距5日线1.8%|量比1.8),2.0795660036166286,1.6274864376130127,1.2658227848101111,-0.7233273056057921,
2024-06-04,600875,东方电气,F,低,18.1314852,上升三法(首阳5.0%|中间5天缩量|末涨3.8%|量比1.5),-2.7821522309711355,-3.464566929133872,-4.514435695538066,-10.131233595800527,
2024-04-24,600879,航天电子,A,高,7.82229096,上穿年线+涨停(涨幅10.0%，量比3.5),0.2525252525252597,-0.12626262626262985,-2.777777777777779,-5.681818181818188,
2025-08-08,600884,杉杉股份,F,低,11.11,上升三法(首阳6.0%|中间4天缩量|末涨6.9%|量比1.6),4.770477047704791,5.310531053105305,6.3906390639064,10.711071107110715,
2024-05-20,600885,宏发股份,B,中,20.6712054,上影线试盘突破(涨幅4.0%，上影线占比38%，量比2.1),-5.06622516556291,-3.4768211920529812,-4.73509933774835,-0.8940397350993501,
2024-01-31,600886,国投电力,D,高,13.20371049,阶段新高(距24月高点-1.3%|距5日线2.4%|量比1.6),1.070663811563155,1.3561741613133282,4.4967880085653,6.923625981441828,
2024-11-07,600887,伊利股份,F,低,28.4994984,上升三法(首阳5.6%|中间4天缩量|末涨4.5%|量比1.5),-1.3245033112582738,-1.953642384105958,-3.4105960264900648,-4.503311258278142,
2024-10-23,600893,航发动力,B,中,44.13779814,上影线试盘突破(涨幅4.6%，上影线占比43%，量比4.1),-0.7681879801174851,-1.7171260732038007,5.716222322638953,-3.5246272028919945,
2024-01-04,600901,江苏金租,D,高,4.535898,阶段新高(距24月高点-2.3%|距5日线3.8%|量比2.0),-1.5503875968992276,-3.488372093023262,-4.651162790697693,-8.527131782945741,
2024-11-05,600909,华安证券,D,高,6.7039007,阶段新高(距24月高点-2.3%|距5日线7.1%|量比1.9),-2.9154518950437303,-4.518950437317781,-10.932944606413997,-8.163265306122447,
2024-02-05,600919,江苏银行,D,高,6.36799712,阶段新高(距24月高点-1.4%|距5日线0.7%|量比1.8),-1.0869565217391242,3.3967391304347894,4.347826086956519,3.125,
2024-04-22,600926,杭州银行,B,中,11.26500804,上影线试盘突破(涨幅4.1%，上影线占比42%，量比3.5),1.1164274322169154,1.834130781499188,4.385964912280715,10.845295055821369,
2024-09-30,600927,永安期货,A,高,14.94229908,上穿年线+涨停(涨幅10.0%，量比3.2),-1.9218025182239917,-0.1325381047050933,-3.379721669980118,-4.307488402915838,
2026-01-22,600938,中国海油,D,高,31.82,阶段新高(距24月高点-2.2%|距5日线5.5%|量比1.7),4.494028912633552,14.456316781898181,5.845380263984912,12.727844123192945,
2025-07-21,600958,东方证券,F,低,10.74568764,上升三法(首阳5.9%|中间5天缩量|末涨5.0%|量比2.4),5.893186003683248,6.813996316758764,2.302025782688766,10.220994475138113,
2025-09-08,600959,江苏有线,B,中,3.76,上影线试盘突破(涨幅5.6%，上影线占比42%，量比3.8),0.5319148936170137,0.5319148936170137,-2.9255319148936088,-5.851063829787229,
2025-02-18,600967,内蒙一机,B,中,10.260036,上影线试盘突破(涨幅4.7%，上影线占比45%，量比2.0),3.106796116504862,1.0679611650485477,-1.3592233009708687,13.300970873786412,
2024-04-02,600968,海油发展,D,高,3.4318466,阶段新高(距24月高点-1.7%|距5日线4.7%|量比1.8),1.9230769230769162,4.395604395604402,15.384615384615374,14.28571428571428,
2024-01-03,600985,淮北矿业,D,中,15.72189635,历史新高突破(距5日线3.7%|量比1.5),0.3399433427762055,0.3966005665722472,-1.8696883852691193,-1.8130311614730776,
2024-03-29,600988,赤峰黄金,A,高,16.2001359,上穿年线+涨停(涨幅10.0%，量比2.9),11.009174311926607,15.47400611620795,15.290519877675845,9.602446483180426,
2024-03-29,600989,宝丰能源,D,高,15.1894443,阶段新高(距24月高点-0.4%|距5日线3.5%|量比2.2),3.547400611620799,1.5902140672782838,3.302752293577993,1.4678899082568808,
2025-09-23,600995,南网储能,D,高,12.6191933,阶段新高(距24月高点-1.5%|距5日线6.8%|量比3.2),-4.352047606719833,-1.974716561319334,2.145990584041546,3.8893666840019048,
2024-09-30,600998,九州通,F,中,5.52421044,上升三法(首阳8.1%|中间3天缩量|末涨9.3%|量比3.4),-4.703832752613235,-2.6132404181184565,-9.93031358885017,-7.665505226480828,
2024-09-24,600999,招商证券,D,高,15.357363,阶段新高(距24月高点-0.1%|距5日线4.1%|量比4.3),11.835443037974681,35.31645569620254,23.291139240506343,22.72151898734178,
